Order_ID,Order_Date,Order_Time,Customer_ID,Product,Category,Region,City,Sales_Channel,Payment_Mode,Quantity,Unit_Price,Discount_Percent,Revenue,Discount_Amount,Net_Sales,Cost,Profit
500022,01-01-2023,00:21:00,35925,Desk,Office Equipment,East,Kolkata,Retail Store,UPI,6,97344,7,584064,40884.48,543179.52,317007.82,226171.7
500023,01-01-2023,00:22:00,55239,Office Chair,Office Equipment,East,Indore,Distributor,Cash,11,65260,8,717860,57428.8,660431.2,448940.62,211490.58
500024,01-01-2023,00:23:00,58317,Smartphone,Office Equipment,West,Kolkata,Retail Store,Debit Card,11,39990,19,439890,83579.1,356310.9,224082.74,132228.16
500025,01-01-2023,00:24:00,38962,Laptop,Furniture,North,Indore,Online,Debit Card,9,61754,5,555786,27789.3,527996.7,366018.3,161978.4
500026,01-01-2023,00:25:00,84040,Laptop,Furniture,South,Delhi,Retail Store,Cash,9,45771,31,411939,127701.09,284237.91,185892.21,98345.7
500027,01-01-2023,00:26:00,57305,Camera,Furniture,North,Kolkata,Retail Store,Cash,3,52519,33,157557,51993.81,105563.19,76463,29100.19
500028,01-01-2023,00:27:00,51732,Camera,Furniture,West,Mumbai,Retail Store,Credit Card,9,64424,0,579816,0,579816,364604.72,215211.28
500029,01-01-2023,00:28:00,41214,Camera,Furniture,West,Bangalore,Online,Credit Card,12,92763,3,1113156,33394.68,1079761.32,600879.61,478881.71
500030,01-01-2023,00:29:00,26215,Headphones,Electronics,South,Mumbai,Retail Store,Credit Card,8,109795,13,878360,114186.8,764173.2,470999.37,293173.83
500031,01-01-2023,00:30:00,34035,Keyboard,Furniture,West,Indore,Online,Debit Card,2,2182,30,4364,1309.2,3054.8,2043.87,1010.93
500032,01-01-2023,00:31:00,35795,Monitor,Accessories,West,Jaipur,Retail Store,UPI,9,111989,30,1007901,302370.3,705530.7,440355.44,265175.26
500033,01-01-2023,00:32:00,66392,Office Chair,Accessories,West,Pune,Retail Store,Cash,3,19313,7,57939,4055.73,53883.27,43352.71,10530.56
500034,01-01-2023,00:33:00,39616,Office Chair,Office Equipment,North,Delhi,Retail Store,Cash,8,78102,11,624816,68729.76,556086.24,352120.13,203966.11
500035,01-01-2023,00:34:00,52688,Headphones,Accessories,East,Mumbai,Distributor,Net Banking,14,47994,23,671916,154540.68,517375.32,412682.51,104692.81
500036,01-01-2023,00:35:00,53408,Office Chair,Office Equipment,West,Pune,Retail Store,Cash,10,85606,17,856060,145530.2,710529.8,485814.39,224715.41
500037,01-01-2023,00:36:00,74886,Smartphone,Accessories,North,Delhi,Online,Credit Card,3,58629,17,175887,29900.79,145986.21,88871.42,57114.79
500038,01-01-2023,00:37:00,16047,Printer,Office Equipment,South,Chennai,Distributor,Cash,3,18746,2,56238,1124.76,55113.24,33758.06,21355.18
500039,01-01-2023,00:38:00,64621,Keyboard,Accessories,West,Pune,Online,Cash,1,78155,4,78155,3126.2,75028.8,44167.88,30860.92
500040,01-01-2023,00:39:00,49516,Tablet,Electronics,South,Chennai,Retail Store,Cash,8,12453,11,99624,10958.64,88665.36,72839.45,15825.91
500041,01-01-2023,00:40:00,76300,Office Chair,Electronics,East,Indore,Distributor,UPI,4,84725,22,338900,74558,264342,185273.92,79068.08
500042,01-01-2023,00:41:00,73047,Printer,Furniture,South,Mumbai,Online,UPI,6,110670,13,664020,86322.6,577697.4,420489.66,157207.74
500043,01-01-2023,00:42:00,16423,Laptop,Electronics,East,Kolkata,Retail Store,Credit Card,8,48136,1,385088,3850.88,381237.12,288964.25,92272.87
500044,01-01-2023,00:43:00,75034,Smartphone,Furniture,South,Pune,Distributor,Debit Card,6,79631,31,477786,148113.66,329672.34,222120.72,107551.62
500045,01-01-2023,00:44:00,23760,Monitor,Electronics,South,Jaipur,Online,Cash,8,25391,7,203128,14218.96,188909.04,138977.42,49931.62
500046,01-01-2023,00:45:00,15437,Desk,Furniture,North,Delhi,Retail Store,Credit Card,11,16318,23,179498,41284.54,138213.46,80533.93,57679.53
500047,01-01-2023,00:46:00,59244,Laptop,Office Equipment,North,Delhi,Retail Store,Credit Card,7,67102,0,469714,0,469714,300732.78,168981.22
500048,01-01-2023,00:47:00,76784,Monitor,Office Equipment,East,Kolkata,Distributor,UPI,5,2621,16,13105,2096.8,11008.2,7866.66,3141.54
500049,01-01-2023,00:48:00,85413,Tablet,Accessories,North,Bangalore,Retail Store,Debit Card,13,10590,25,137670,34417.5,103252.5,82975.36,20277.14
500050,01-01-2023,00:49:00,61556,Keyboard,Electronics,North,Kolkata,Distributor,UPI,10,117498,12,1174980,140997.6,1033982.4,569681.86,464300.54
500051,01-01-2023,00:50:00,61779,Keyboard,Electronics,North,Kolkata,Online,UPI,2,29788,23,59576,13702.48,45873.52,25568.62,20304.9
500052,01-01-2023,00:51:00,97259,Keyboard,Office Equipment,South,Mumbai,Online,Debit Card,5,61008,20,305040,61008,244032,181967.24,62064.76
500053,01-01-2023,00:52:00,30961,Headphones,Office Equipment,South,Delhi,Online,Debit Card,9,54368,15,489312,73396.8,415915.2,334589.64,81325.56
500054,01-01-2023,00:53:00,97059,Keyboard,Office Equipment,East,Indore,Retail Store,Credit Card,10,36974,20,369740,73948,295792,222241.89,73550.11
500055,01-01-2023,00:54:00,25259,Keyboard,Furniture,East,Jaipur,Distributor,Debit Card,14,26570,27,371980,100434.6,271545.4,204974.45,66570.95
500056,01-01-2023,00:55:00,83220,Monitor,Furniture,South,Delhi,Retail Store,Debit Card,9,36429,27,327861,88522.47,239338.53,159912.6,79425.93
500057,01-01-2023,00:56:00,83401,Tablet,Furniture,North,Mumbai,Distributor,UPI,13,17035,20,221455,44291,177164,135681.82,41482.18
500058,01-01-2023,00:57:00,98805,Keyboard,Office Equipment,West,Kolkata,Online,UPI,2,50203,24,100406,24097.44,76308.56,62918.07,13390.49
500059,01-01-2023,00:58:00,15085,Keyboard,Furniture,East,Bangalore,Online,Credit Card,5,83797,6,418985,25139.1,393845.9,251989.4,141856.5
500060,01-01-2023,00:59:00,65249,Smartphone,Office Equipment,West,Jaipur,Distributor,UPI,10,117578,6,1175780,70546.8,1105233.2,810954.13,294279.07
500061,01-01-2023,01:00:00,76975,Monitor,Office Equipment,North,Jaipur,Online,Debit Card,7,94094,2,658658,13173.16,645484.84,449685.28,195799.56
500062,01-01-2023,01:01:00,56210,Smartphone,Furniture,South,Delhi,Distributor,Cash,9,51860,0,466740,0,466740,377622.33,89117.67
500063,01-01-2023,01:02:00,88931,Desk,Accessories,North,Delhi,Online,Cash,7,109434,10,766038,76603.8,689434.2,451945.62,237488.58
500064,01-01-2023,01:03:00,14018,Headphones,Electronics,East,Jaipur,Online,Credit Card,10,62205,11,622050,68425.5,553624.5,425640.32,127984.18
500065,01-01-2023,01:04:00,57125,Printer,Office Equipment,North,Pune,Retail Store,Debit Card,5,95027,1,475135,4751.35,470383.65,264800.32,205583.33
500066,01-01-2023,01:05:00,97671,Camera,Office Equipment,West,Jaipur,Distributor,UPI,8,19616,24,156928,37662.72,119265.28,76279.86,42985.42
500067,01-01-2023,01:06:00,87379,Headphones,Office Equipment,North,Mumbai,Retail Store,Credit Card,1,45520,9,45520,4096.8,41423.2,26114.83,15308.37
500068,01-01-2023,01:07:00,57307,Laptop,Accessories,East,Chennai,Online,Cash,4,67060,23,268240,61695.2,206544.8,127833.3,78711.5
500069,01-01-2023,01:08:00,83775,Camera,Electronics,West,Delhi,Online,Cash,13,555,16,7215,1154.4,6060.6,4255.76,1804.84
500070,01-01-2023,01:09:00,43117,Printer,Electronics,North,Jaipur,Distributor,UPI,2,111227,19,222454,42266.26,180187.74,149336.02,30851.72
500071,01-01-2023,01:10:00,85883,Printer,Electronics,North,Indore,Retail Store,Cash,2,77563,10,155126,15512.6,139613.4,86554.84,53058.56
500072,01-01-2023,01:11:00,67065,Laptop,Furniture,South,Indore,Online,Net Banking,11,88136,28,969496,271458.88,698037.12,417037.58,280999.54
500073,01-01-2023,01:12:00,55710,Desk,Accessories,North,Indore,Retail Store,UPI,3,39456,32,118368,37877.76,80490.24,54322.2,26168.04
500074,01-01-2023,01:13:00,63524,Smartphone,Accessories,West,Indore,Retail Store,Credit Card,2,8279,6,16558,993.48,15564.52,8913.59,6650.93
500075,01-01-2023,01:14:00,61196,Smartphone,Office Equipment,South,Bangalore,Distributor,Debit Card,13,34890,30,453570,136071,317499,176615.68,140883.32
500076,01-01-2023,01:15:00,73523,Camera,Furniture,North,Delhi,Retail Store,UPI,7,65878,23,461146,106063.58,355082.42,246350.51,108731.91
500077,01-01-2023,01:16:00,52800,Office Chair,Furniture,East,Chennai,Retail Store,UPI,4,56403,34,225612,76708.08,148903.92,110200.88,38703.04
500078,01-01-2023,01:17:00,28692,Monitor,Furniture,South,Mumbai,Online,UPI,7,71029,31,497203,154132.93,343070.07,227488.29,115581.78
500079,01-01-2023,01:18:00,52795,Office Chair,Electronics,East,Delhi,Online,Debit Card,8,56345,13,450760,58598.8,392161.2,238871.66,153289.54
500080,01-01-2023,01:19:00,65752,Desk,Furniture,South,Indore,Distributor,UPI,12,99743,34,1196916,406951.44,789964.56,599815.47,190149.09
500081,01-01-2023,01:20:00,15594,Headphones,Electronics,East,Pune,Distributor,Net Banking,13,70885,2,921505,18430.1,903074.9,581624.89,321450.01
500082,01-01-2023,01:21:00,32266,Desk,Accessories,West,Delhi,Online,UPI,6,53739,28,322434,90281.52,232152.48,167776.59,64375.89
500083,01-01-2023,01:22:00,62790,Camera,Furniture,North,Kolkata,Retail Store,Net Banking,13,70245,10,913185,91318.5,821866.5,509812.71,312053.79
500084,01-01-2023,01:23:00,54587,Desk,Furniture,West,Bangalore,Online,Net Banking,13,54771,8,712023,56961.84,655061.16,490303.8,164757.36
500085,01-01-2023,01:24:00,62439,Headphones,Furniture,South,Indore,Online,UPI,9,100513,12,904617,108554.04,796062.96,555752.51,240310.45
500086,01-01-2023,01:25:00,24770,Tablet,Accessories,East,Chennai,Distributor,UPI,5,119755,4,598775,23951,574824,404811.64,170012.36
500087,01-01-2023,01:26:00,76691,Keyboard,Office Equipment,North,Kolkata,Retail Store,Cash,4,58148,4,232592,9303.68,223288.32,185965.32,37323
500088,01-01-2023,01:27:00,29869,Tablet,Electronics,North,Pune,Online,UPI,7,84272,32,589904,188769.28,401134.72,239405.76,161728.96
500089,01-01-2023,01:28:00,40604,Headphones,Office Equipment,West,Indore,Online,Credit Card,4,97897,14,391588,54822.32,336765.68,220826.75,115938.93
500090,01-01-2023,01:29:00,86623,Monitor,Electronics,North,Kolkata,Retail Store,Cash,11,57216,21,629376,132168.96,497207.04,415476.58,81730.46
500091,01-01-2023,01:30:00,26157,Printer,Electronics,North,Jaipur,Retail Store,Net Banking,2,33331,9,66662,5999.58,60662.42,38052.59,22609.83
500092,01-01-2023,01:31:00,71064,Camera,Accessories,North,Indore,Online,UPI,4,6071,13,24284,3156.92,21127.08,16814.51,4312.57
500093,01-01-2023,01:32:00,84294,Camera,Office Equipment,North,Jaipur,Retail Store,Credit Card,13,28714,4,373282,14931.28,358350.72,210214.94,148135.78
500094,01-01-2023,01:33:00,34949,Desk,Office Equipment,West,Pune,Distributor,Credit Card,11,34636,26,380996,99058.96,281937.04,215343.85,66593.19
500095,01-01-2023,01:34:00,78294,Keyboard,Furniture,North,Kolkata,Online,Cash,4,897,11,3588,394.68,3193.32,2163.32,1030
500096,01-01-2023,01:35:00,71077,Smartphone,Accessories,East,Jaipur,Distributor,UPI,12,53203,8,638436,51074.88,587361.12,481828.71,105532.41
500097,01-01-2023,01:36:00,30524,Printer,Electronics,East,Kolkata,Distributor,Net Banking,14,75064,15,1050896,157634.4,893261.6,502130.07,391131.53
500098,01-01-2023,01:37:00,86763,Keyboard,Office Equipment,South,Chennai,Online,UPI,5,65406,22,327030,71946.6,255083.4,141959.34,113124.06
500099,01-01-2023,01:38:00,10647,Desk,Electronics,West,Bangalore,Online,Credit Card,7,11667,17,81669,13883.73,67785.27,38815.41,28969.86
500100,01-01-2023,01:39:00,13793,Printer,Electronics,South,Mumbai,Retail Store,Cash,14,75611,17,1058554,179954.18,878599.82,557936.85,320662.97
500101,01-01-2023,01:40:00,26581,Camera,Electronics,East,Jaipur,Retail Store,Debit Card,5,53619,18,268095,48257.1,219837.9,172860.84,46977.06
500102,01-01-2023,01:41:00,94068,Laptop,Office Equipment,South,Indore,Online,UPI,14,20693,27,289702,78219.54,211482.46,118878.46,92604
500103,01-01-2023,01:42:00,29636,Headphones,Office Equipment,West,Chennai,Online,Credit Card,11,116375,1,1280125,12801.25,1267323.75,1017468.17,249855.58
500104,01-01-2023,01:43:00,60153,Smartphone,Office Equipment,South,Bangalore,Retail Store,Net Banking,6,79500,23,477000,109710,367290,257021.2,110268.8
500105,01-01-2023,01:44:00,75705,Keyboard,Accessories,North,Jaipur,Distributor,Debit Card,13,76396,2,993148,19862.96,973285.04,751887.64,221397.4
500106,01-01-2023,01:45:00,96045,Desk,Accessories,East,Mumbai,Online,Cash,9,103309,15,929781,139467.15,790313.85,528305.84,262008.01
500107,01-01-2023,01:46:00,12330,Camera,Electronics,West,Mumbai,Distributor,Credit Card,2,72986,1,145972,1459.72,144512.28,121106.87,23405.41
500108,01-01-2023,01:47:00,73296,Smartphone,Furniture,West,Chennai,Retail Store,Debit Card,2,24299,33,48598,16037.34,32560.66,27065.74,5494.92
500109,01-01-2023,01:48:00,12238,Headphones,Accessories,South,Jaipur,Online,Cash,10,109444,15,1094440,164166,930274,601169.82,329104.18
500110,01-01-2023,01:49:00,27110,Keyboard,Electronics,North,Jaipur,Distributor,Credit Card,14,110685,26,1549590,402893.4,1146696.6,834000.36,312696.24
500111,01-01-2023,01:50:00,56818,Headphones,Furniture,West,Indore,Retail Store,UPI,7,4952,2,34664,693.28,33970.72,26643.51,7327.21
500112,01-01-2023,01:51:00,99100,Smartphone,Electronics,East,Delhi,Online,Credit Card,12,21620,7,259440,18160.8,241279.2,153050.37,88228.83
500113,01-01-2023,01:52:00,96662,Smartphone,Office Equipment,North,Indore,Retail Store,Net Banking,4,18506,26,74024,19246.24,54777.76,38401.6,16376.16
500114,01-01-2023,01:53:00,75979,Office Chair,Electronics,East,Indore,Online,Net Banking,1,94810,23,94810,21806.3,73003.7,55934.94,17068.76
500115,01-01-2023,01:54:00,99710,Laptop,Office Equipment,East,Mumbai,Retail Store,UPI,14,792,14,11088,1552.32,9535.68,7302.18,2233.5
500116,01-01-2023,01:55:00,16004,Headphones,Office Equipment,West,Bangalore,Online,Debit Card,5,114152,22,570760,125567.2,445192.8,270139.07,175053.73
500117,01-01-2023,01:56:00,40045,Headphones,Office Equipment,South,Kolkata,Retail Store,Debit Card,14,40795,34,571130,194184.2,376945.8,257881.79,119064.01
500118,01-01-2023,01:57:00,22774,Monitor,Furniture,North,Jaipur,Online,Credit Card,11,116883,29,1285713,372856.77,912856.23,635335.88,277520.35
500119,01-01-2023,01:58:00,80890,Headphones,Office Equipment,West,Mumbai,Online,Credit Card,1,80998,3,80998,2429.94,78568.06,61146.96,17421.1
500120,01-01-2023,01:59:00,37471,Laptop,Accessories,West,Jaipur,Distributor,Debit Card,12,95311,34,1143732,388868.88,754863.12,461995.85,292867.27
500121,01-01-2023,02:00:00,26433,Keyboard,Accessories,South,Jaipur,Retail Store,Debit Card,7,14932,6,104524,6271.44,98252.56,74406,23846.56
500122,01-01-2023,02:01:00,11462,Office Chair,Office Equipment,East,Pune,Online,Net Banking,6,57394,12,344364,41323.68,303040.32,167005.97,136034.35
500123,01-01-2023,02:02:00,48220,Tablet,Accessories,South,Chennai,Retail Store,Net Banking,7,71958,10,503706,50370.6,453335.4,364698.83,88636.57
500124,01-01-2023,02:03:00,64889,Printer,Furniture,South,Chennai,Distributor,UPI,1,21431,31,21431,6643.61,14787.39,9570.2,5217.19
500125,01-01-2023,02:04:00,44479,Desk,Electronics,East,Chennai,Distributor,Debit Card,3,45780,0,137340,0,137340,84811.32,52528.68
500126,01-01-2023,02:05:00,41141,Camera,Electronics,East,Indore,Distributor,Debit Card,2,47706,13,95412,12403.56,83008.44,57351.97,25656.47
500127,01-01-2023,02:06:00,87769,Office Chair,Accessories,West,Jaipur,Distributor,Net Banking,8,32810,12,262480,31497.6,230982.4,173376.1,57606.3
500128,01-01-2023,02:07:00,78183,Tablet,Office Equipment,West,Pune,Online,Debit Card,2,2690,20,5380,1076,4304,3013.79,1290.21
500129,01-01-2023,02:08:00,87060,Office Chair,Office Equipment,North,Indore,Distributor,Cash,2,12420,7,24840,1738.8,23101.2,14284.5,8816.7
500130,01-01-2023,02:09:00,24924,Desk,Furniture,North,Jaipur,Retail Store,Cash,10,100586,10,1005860,100586,905274,702984.27,202289.73
500131,01-01-2023,02:10:00,43001,Smartphone,Furniture,South,Delhi,Online,Net Banking,10,60057,12,600570,72068.4,528501.6,358130.01,170371.59
500132,01-01-2023,02:11:00,73819,Tablet,Office Equipment,South,Mumbai,Retail Store,Net Banking,6,105477,34,632862,215173.08,417688.92,241392.72,176296.2
500133,01-01-2023,02:12:00,74262,Office Chair,Electronics,East,Jaipur,Retail Store,UPI,9,109973,26,989757,257336.82,732420.18,407188.95,325231.23
500134,01-01-2023,02:13:00,22152,Monitor,Furniture,North,Pune,Online,Credit Card,12,5138,10,61656,6165.6,55490.4,45473.63,10016.77
500135,01-01-2023,02:14:00,14181,Office Chair,Electronics,North,Indore,Online,Debit Card,1,62444,2,62444,1248.88,61195.12,39570.74,21624.38
500136,01-01-2023,02:15:00,28078,Desk,Electronics,North,Jaipur,Distributor,Cash,9,99368,9,894312,80488.08,813823.92,665667.07,148156.85
500137,01-01-2023,02:16:00,13947,Tablet,Accessories,North,Delhi,Retail Store,Debit Card,8,47592,8,380736,30458.88,350277.12,250865.14,99411.98
500138,01-01-2023,02:17:00,37100,Office Chair,Electronics,East,Indore,Online,Cash,14,41629,5,582806,29140.3,553665.7,329606.81,224058.89
500139,01-01-2023,02:18:00,61000,Office Chair,Electronics,West,Pune,Online,Debit Card,9,18527,28,166743,46688.04,120054.96,100104.24,19950.72
500140,01-01-2023,02:19:00,44611,Office Chair,Electronics,West,Indore,Distributor,Credit Card,14,49329,17,690606,117403.02,573202.98,469107.91,104095.07
500141,01-01-2023,02:20:00,83337,Keyboard,Furniture,South,Mumbai,Distributor,Cash,1,68893,28,68893,19290.04,49602.96,36445.8,13157.16
500142,01-01-2023,02:21:00,26268,Headphones,Electronics,South,Bangalore,Distributor,UPI,14,26013,0,364182,0,364182,269819.83,94362.17
500143,01-01-2023,02:22:00,19292,Laptop,Office Equipment,South,Delhi,Distributor,Debit Card,2,68901,20,137802,27560.4,110241.6,69977.28,40264.32
500144,01-01-2023,02:23:00,95869,Headphones,Office Equipment,South,Kolkata,Online,UPI,10,33960,23,339600,78108,261492,162682.73,98809.27
500145,01-01-2023,02:24:00,24023,Tablet,Accessories,West,Indore,Retail Store,Net Banking,14,91902,28,1286628,360255.84,926372.16,526046.12,400326.04
500146,01-01-2023,02:25:00,16229,Headphones,Electronics,South,Mumbai,Distributor,Net Banking,5,64441,3,322205,9666.15,312538.85,212469.91,100068.94
500147,01-01-2023,02:26:00,85450,Smartphone,Electronics,South,Pune,Online,UPI,13,33020,7,429260,30048.2,399211.8,232132.68,167079.12
500148,01-01-2023,02:27:00,89657,Tablet,Electronics,North,Delhi,Distributor,Cash,1,4834,27,4834,1305.18,3528.82,2934.58,594.24
500149,01-01-2023,02:28:00,22075,Camera,Electronics,South,Mumbai,Retail Store,Cash,14,76293,19,1068102,202939.38,865162.62,644479.12,220683.5
500150,01-01-2023,02:29:00,66635,Office Chair,Accessories,South,Kolkata,Retail Store,Net Banking,7,23943,15,167601,25140.15,142460.85,99115.38,43345.47
500151,01-01-2023,02:30:00,97964,Printer,Accessories,East,Jaipur,Retail Store,Credit Card,2,15110,10,30220,3022,27198,16266.25,10931.75
500152,01-01-2023,02:31:00,37024,Office Chair,Accessories,North,Delhi,Retail Store,UPI,8,60879,20,487032,97406.4,389625.6,259688.58,129937.02
500153,01-01-2023,02:32:00,29491,Keyboard,Accessories,East,Kolkata,Online,UPI,5,43066,34,215330,73212.2,142117.8,90981.5,51136.3
500154,01-01-2023,02:33:00,34141,Keyboard,Accessories,East,Pune,Retail Store,Credit Card,14,57840,2,809760,16195.2,793564.8,442804.85,350759.95
500155,01-01-2023,02:34:00,37253,Desk,Accessories,South,Jaipur,Retail Store,Debit Card,11,64769,1,712459,7124.59,705334.41,415176.54,290157.87
500156,01-01-2023,02:35:00,49639,Tablet,Electronics,South,Mumbai,Retail Store,Net Banking,2,103203,5,206406,10320.3,196085.7,162454.15,33631.55
500157,01-01-2023,02:36:00,21231,Camera,Electronics,North,Indore,Distributor,Credit Card,7,79607,22,557249,122594.78,434654.22,314467.65,120186.57
500158,01-01-2023,02:37:00,79677,Camera,Electronics,South,Bangalore,Distributor,UPI,1,12404,9,12404,1116.36,11287.64,8892.07,2395.57
500159,01-01-2023,02:38:00,89784,Office Chair,Accessories,East,Chennai,Retail Store,Credit Card,6,116959,34,701754,238596.36,463157.64,297777.15,165380.49
500160,01-01-2023,02:39:00,22763,Headphones,Electronics,East,Indore,Retail Store,Net Banking,8,112709,19,901672,171317.68,730354.32,597241.37,133112.95
500161,01-01-2023,02:40:00,98462,Tablet,Office Equipment,West,Kolkata,Retail Store,Debit Card,5,118414,18,592070,106572.6,485497.4,293944.03,191553.37
500162,01-01-2023,02:41:00,25402,Office Chair,Furniture,South,Jaipur,Distributor,Debit Card,13,62321,27,810173,218746.71,591426.29,410479.77,180946.52
500163,01-01-2023,02:42:00,59442,Smartphone,Electronics,West,Jaipur,Distributor,Debit Card,5,20667,8,103335,8266.8,95068.2,64461.84,30606.36
500164,01-01-2023,02:43:00,67200,Monitor,Accessories,East,Bangalore,Retail Store,UPI,7,115693,21,809851,170068.71,639782.29,416283.64,223498.65
500165,01-01-2023,02:44:00,35490,Headphones,Furniture,West,Indore,Distributor,Cash,11,57857,31,636427,197292.37,439134.63,332391.88,106742.75
500166,01-01-2023,02:45:00,75801,Camera,Accessories,South,Indore,Online,Net Banking,8,44996,2,359968,7199.36,352768.64,251126.04,101642.6
500167,01-01-2023,02:46:00,44761,Keyboard,Furniture,West,Chennai,Online,Net Banking,7,94478,32,661346,211630.72,449715.28,283162.64,166552.64
500168,01-01-2023,02:47:00,59421,Desk,Electronics,South,Delhi,Distributor,Net Banking,7,43736,6,306152,18369.12,287782.88,181971.66,105811.22
500169,01-01-2023,02:48:00,25701,Office Chair,Electronics,West,Jaipur,Distributor,Debit Card,8,84326,16,674608,107937.28,566670.72,316363.66,250307.06
500170,01-01-2023,02:49:00,12049,Headphones,Electronics,West,Kolkata,Retail Store,Cash,10,115054,18,1150540,207097.2,943442.8,595174.04,348268.76
500171,01-01-2023,02:50:00,23599,Camera,Electronics,East,Jaipur,Retail Store,Cash,14,59119,12,827666,99319.92,728346.08,548307.88,180038.2
500172,01-01-2023,02:51:00,23198,Smartphone,Electronics,West,Mumbai,Retail Store,Credit Card,6,68698,12,412188,49462.56,362725.44,237516.4,125209.04
500173,01-01-2023,02:52:00,21929,Smartphone,Electronics,East,Pune,Distributor,Net Banking,6,88005,20,528030,105606,422424,292815.58,129608.42
500174,01-01-2023,02:53:00,54529,Office Chair,Office Equipment,South,Chennai,Online,Debit Card,12,35263,7,423156,29620.92,393535.08,275165.58,118369.5
500175,01-01-2023,02:54:00,52145,Monitor,Accessories,North,Kolkata,Online,Debit Card,2,91284,29,182568,52944.72,129623.28,109260.78,20362.5
500176,01-01-2023,02:55:00,16101,Keyboard,Electronics,South,Bangalore,Distributor,UPI,14,67531,8,945434,75634.72,869799.28,731756.33,138042.95
500177,01-01-2023,02:56:00,45392,Keyboard,Office Equipment,West,Mumbai,Distributor,Debit Card,12,68165,23,817980,188135.4,629844.6,410920.37,218924.23
500178,01-01-2023,02:57:00,82141,Monitor,Office Equipment,West,Jaipur,Online,Debit Card,6,111623,21,669738,140644.98,529093.02,310623.74,218469.28
500179,01-01-2023,02:58:00,15946,Monitor,Office Equipment,East,Kolkata,Distributor,Credit Card,13,20203,14,262639,36769.46,225869.54,179716.41,46153.13
500180,01-01-2023,02:59:00,58394,Monitor,Accessories,West,Chennai,Retail Store,Cash,11,13938,6,153318,9199.08,144118.92,93133.63,50985.29
